route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
257,regular,T,Leyton,Stagecoach London,DD,Walthamstow Central,Stratford,Walthamstow Bus Station,Stratford Bus Station,"Walthamstow Central, Walthamstow Bus Station",Stratford,,8.0,8.0,8.0,0.0,5.0,8.601,5.345
258,regular,HD,Harrow Weald,Metroline,DD,South Harrow,Watford Junction,South Harrow Bus Station,Watford Junction Station,South Harrow,Watford Junction,,4.0,4.0,4.0,0.0,3.0,16.463,10.23
259,regular,AR,Tottenham,Arriva,DD,King's Cross,Edmonton Green,King's Cross Road / Pentonville Road,Edmonton Green Bus Station,King's Cross,Edmonton Green,,6.0,6.0,6.0,0.0,5.0,12.812,7.961
260,regular,AC,Willesden,Metroline,DD,Golders Green,White City,Golders Green Station,White City Bus Station,Golders Green,White City,,4.5,4.5,5.0,0.0,4.0,16.654,10.348
261,regular,TB,Bromley,Stagecoach London,DD,Princess Royal Hospital,Lewisham Station,Princess Royal University Hospital,,"Princess Royal Hospital, Princess Royal University Hospital",Lewisham Station,,5.0,5.0,5.0,0.0,4.0,14.582,9.061
262,regular,RR,River Road,Go-Ahead,DD,Stratford,"Gallions Reach, Shopping Park",Stratford Bus Station,,Stratford,"Gallions Reach, Shopping Park",,5.5,5.5,5.5,0.0,4.0,9.231,5.736
263,regular,PB,Potters Bar,Metroline,DD,Barnet Hospital,Highbury Barn,,,Barnet Hospital,Highbury Barn,,6.0,6.0,6.0,0.0,5.0,16.965,10.542
264,twentyfour,C,Croydon,Go-Ahead,DD,"Tooting, St. George's Hospital",Croydon Town Centre,St George's Hospital,West Croydon Bus Station,"Tooting, St. George's Hospital","Croydon Town Centre, West Croydon Bus Station",,5.0,4.5,5.0,2.0,4.0,10.536,6.546
265,regular,AF,Putney,Go-Ahead,SD,Tolworth,Putney Heath,Tolworth / King Charles Road,Putney Bridge Station,Tolworth,"Putney Heath, Putney Bridge Station",,4.5,4.5,4.5,0.0,4.5,17.608,10.941
266,regular,W,Cricklewood,Metroline,DD,"Brent Cross, Shopping Centre","Acton, High Street",,Acton Old Town Hall / Salisbury Street,"Brent Cross, Shopping Centre","Acton, High Street, Acton Old Town Hall / Salisbury Street",,7.0,7.5,7.5,0.0,6.0,12.947,8.045
267,regular,TF,Fulwell (Twickenham),Transport UK,DD,Fulwell,Hammersmith,South Road / Fulwell,Hammersmith Bus Station,Fulwell,Hammersmith,,6.0,5.5,5.5,0.0,4.5,13.83,8.594
268,regular,W,Cricklewood,Metroline,SD,"Finchley Road, O2 Centre",Golders Green,O2 Centre / Sainsbury's,Golders Green Station,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Golders Green,,4.0,4.0,4.0,0.0,3.0,5.839,3.628
269,regular,BX,Bexleyheath,Go-Ahead,DD,Bromley North,"Bexleyheath, Shopping Centre",Bromley North Station,Friswell Place,Bromley North,"Bexleyheath, Shopping Centre, Friswell Place",,4.5,4.5,4.5,0.0,4.0,16.309,10.134
270,regular,BC,Beddington,Transport UK,DD,Mitcham,Putney Bridge,Madeira Road,Putney Bridge Station,"Mitcham, Madeira Road",Putney Bridge,,6.0,6.0,6.0,0.0,5.0,10.096,6.273
272,regular,V,Stamford Brook,First,SD,Shepherd's Bush,"Chiswick, Grove Park",Shepherds Bush Station,Cavendish Road,Shepherd's Bush,"Chiswick, Grove Park, Cavendish Road",,3.5,4.0,4.0,0.0,3.5,9.518,5.914
273,regular,TL,Catford,Stagecoach London,SD,Petts Wood,"Lewisham, Tesco",Station Square / Petts Wood Station,Conington Road,Petts Wood,"Lewisham, Tesco, Conington Road",,3.0,3.0,3.0,0.0,2.0,18.431,11.452
274,regular,HT; KC,Holloway; King's Cross,Metroline,DD,Lancaster Gate,"Islington, Angel",Lancaster Gate Station,Angel Islington / City Road,Lancaster Gate,"Islington, Angel, Angel Islington / City Road",,4.5,5.0,4.5,0.0,5.5,11.22,6.972
275,regular,T,Leyton,Stagecoach London,DD,Barkingside,"Walthamstow, St. James's Street Station",Barkingside Tesco,St James Street Station,Barkingside,"Walthamstow, St. James's Street Station, St James Street Station",,4.0,4.5,4.5,0.0,2.5,18.592,11.552
276,regular,HO,Lea Interchange,Stagecoach London,SD,Stoke Newington,Newham Hospital,Stoke Newington Common,Gateway Surgical Centre,Stoke Newington,"Newham Hospital, Gateway Surgical Centre",,4.5,4.5,4.5,0.0,4.0,17.446,10.841
277,regular,HK,Ash Grove,Stagecoach London,DD,Crossharbour,Dalston Junction,Isle of Dogs Asda,Forest Road,"Crossharbour, Isle of Dogs Asda","Dalston Junction, Forest Road",,5.0,5.5,5.5,0.0,5.0,12.294,7.639
278,regular,DH,Hayes,Transport UK,DD,Ruislip,Heathrow Central,Ruislip Station,Heathrow Central Bus Station,Ruislip,Heathrow Central,,4.0,4.0,4.0,0.0,3.0,16.8,10.439
279,regular,E,Enfield,Arriva,DD,Manor House,Waltham Cross,Manor House Station,Waltham Cross Bus Station,Manor House,Waltham Cross,,10.0,10.0,9.0,0.0,6.0,14.561,9.048
280,regular,GM,Ellis Road,Go-Ahead,DD,Belmont,"Tooting, St. George's Hospital",Belmont Station / Brighton Road,St George's Hospital,Belmont,"Tooting, St. George's Hospital",,6.5,6.0,6.0,0.0,5.0,11.95,7.425
281,twentyfour,FW,Fulwell,First,DD,Tolworth Station,"Hounslow, Bus Station",,,Tolworth Station,"Hounslow, Bus Station",281N; 281R,5.0,5.5,5.5,2.5,4.5,18.724,11.634
282,regular,G,Greenford,Metroline,DD,Mount Vernon Hospital,Ealing Hospital,,,Mount Vernon Hospital,Ealing Hospital,,5.0,5.0,5.0,0.0,4.0,19.158,11.904
284,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Grove Park Cemetery,"Lewisham, Shopping Centre",,Lewisham Station,Grove Park Cemetery,"Lewisham, Shopping Centre, Lewisham Station",,6.0,5.5,6.0,0.0,3.0,10.666,6.628
285,twentyfour,TF,Fulwell (Twickenham),Transport UK,DD,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,,5.0,5.0,5.0,2.0,5.0,20.191,12.546
286,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,"Greenwich, Cutty Sark",Queen Mary's Hospital,Greenwich Town Centre / Cutty Sark,Queen Mary's Hospital / Frognal Avenue,"Greenwich, Cutty Sark, Greenwich Town Centre / Cutty Sark",Queen Mary's Hospital,,4.5,5.0,5.0,0.0,3.0,14.717,9.145
287,regular,RM,Rainham,Stagecoach London,DD,"Rainham, Abbey Wood Lane",Barking,Abbey Wood Lane,Barking Station,"Rainham, Abbey Wood Lane",Barking,,4.0,4.0,4.0,0.0,3.0,13.204,8.205
288,regular,BT,Edgware,First,SD,Broadfields Estate,"Queensbury, Morrisons",Meadfield,,"Broadfields Estate, Meadfield","Queensbury, Morrisons",,6.0,6.0,6.0,0.0,4.0,6.467,4.019
289,regular,TH,Thornton Heath,Arriva,DD,Purley,Elmers End,Purley Station,Elmers End Interchange,Purley,Elmers End,,5.0,5.0,5.0,0.0,4.0,14.639,9.096
290,regular,FW,Fulwell,First,SD,Twickenham,Staines,Arragon Road,Staines Bus Station,"Twickenham, Arragon Road",Staines,,3.0,3.0,3.0,0.0,3.0,17.061,10.601
291,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Woodlands Estate,Queen Elizabeth Hospital,Garland Road Clinic,Queen Elizabeth Hospital / West Entrance,"Woodlands Estate, Garland Road Clinic",Queen Elizabeth Hospital,,5.0,5.0,5.0,0.0,4.0,6.14,3.815
292,regular,UB,Hatfield,Uno,DD,"Colindale, Superstores","Borehamwood, Rossington Avenue",,Rossington Avenue,"Colindale, Superstores","Borehamwood, Rossington Avenue",,3.0,3.0,3.0,0.0,3.0,14.508,9.015
293,regular,TV,Tolworth,First,SD,Epsom Hospital,Morden,,Morden Station,Epsom Hospital,Morden,,3.0,3.0,3.0,0.0,2.0,12.732,7.911
294,regular,NS,Romford,Stagecoach London,DD,Noak Hill,Havering Park,Wincanton Road,,"Noak Hill, Wincanton Road",Havering Park,,4.0,4.5,4.5,0.0,2.5,15.918,9.891
295,twentyfour,X,Westbourne Park,First,DD,Clapham Junction,"Ladbroke Grove, Sainsbury's",Clapham Junction Stn / the Falcon,Kensal House,Clapham Junction,"Ladbroke Grove, Sainsbury's, Kensal House",,7.0,7.0,7.0,2.0,5.0,12.304,7.645
296,regular,NS,Romford,Stagecoach London,SD,Ilford Broadway,Romford Station,Roden Street,,"Ilford Broadway, Roden Street",Romford Station,,3.5,3.5,4.0,0.0,2.0,13.536,8.411
297,twentyfour,PV,Perivale [East],Metroline,DD,Ealing Broadway,"Willesden, Bus Garage",Ealing Broadway Station / Haven Green,Meyrick Road,Ealing Broadway,"Willesden, Bus Garage, Meyrick Road",,5.0,5.0,5.0,2.5,4.5,15.007,9.325
298,regular,UB,Hatfield,Uno,DD,Potters Bar Station,Arnos Grove,,Arnos Grove Station,Potters Bar Station,Arnos Grove,,3.0,3.0,3.0,0.0,2.0,12.492,7.762
299,regular,NP,Northumberland Park,Go-Ahead,SD,Cockfosters,Muswell Hill,Cockfosters Station,,Cockfosters,Muswell Hill,,4.0,4.0,4.0,0.0,2.0,9.468,5.883
300,regular,SI,Silvertown,Go-Ahead,SD,Canning Town,East Ham Station,Canning Town Station,Wordsworth Health Centre,Canning Town,"East Ham Station, Wordsworth Health Centre",,4.0,4.0,4.0,0.0,3.0,11.962,7.433
301,regular,DT,Dartford,Arriva,DD,Woolwich,"Bexleyheath, Shopping Centre",Beresford Sq / Woolwich Arsenal Stn,Market Place,Woolwich,"Bexleyheath, Shopping Centre, Market Place",,5.0,5.0,5.0,0.0,5.0,12.761,7.929
302,regular,AC,Willesden,Metroline,DD,Kensal Rise,Mill Hill Broadway,Kensal Rise Station,Mill Hill Broadway Station,Kensal Rise,Mill Hill Broadway,,6.5,6.5,6.5,0.0,4.5,12.751,7.923
303,regular,BT,Edgware,First,SD,Kingsbury Circle,Edgware,,Edgware Station,Kingsbury Circle,Edgware,,4.0,4.0,4.0,0.0,3.0,11.286,7.013
304,regular,RR,River Road,Go-Ahead,DD,Manor Park,Custom House Station,Manor Park / Gladding Road,,Manor Park,Custom House Station,,5.0,5.0,5.0,0.0,4.0,8.326,5.174
306,regular,QB,Battersea,Transport UK,DD,"Fulham, Sands End",Acton Vale,Sands End / Sainsbury's,Acton Vale / Bromyard Avenue,"Fulham, Sands End, Sands End / Sainsbury's",Acton Vale,,4.5,4.5,4.5,0.0,4.0,9.792,6.085
307,regular,E,Enfield,Arriva,DD,Barnet Hospital,Brimsdown,,Brimsdown Station,Barnet Hospital,Brimsdown,,6.0,5.5,6.5,0.0,3.0,15.329,9.525
308,regular,HO,Lea Interchange,Stagecoach London,DD,Clapton Pond,Wanstead,Lea Bridge Roundabout,Woodbine Place,"Clapton Pond, Lea Bridge Roundabout","Wanstead, Woodbine Place",,5.0,5.0,5.0,0.0,3.0,14.442,8.974
309,regular,HK,Ash Grove,Stagecoach London,SD,"Bethnal Green, Bonner Road",Canning Town,Bonner Road,Canning Town Station,"Bethnal Green, Bonner Road",Canning Town,,4.5,4.5,4.5,0.0,4.0,7.841,4.872
310,regular,HK,Ash Grove,Stagecoach London,SD,Golders Green,Stamford Hill,Golders Green Station,,Golders Green,Stamford Hill,,3.0,3.0,3.0,0.0,3.0,11.74,7.295
312,regular,TC,Croydon,Arriva,DD,Norwood Junction,"Purley, Old Lodge Lane",Norwood Junction Station,Old Lodge Lane Bus Terminus,Norwood Junction,"Purley, Old Lodge Lane, Old Lodge Lane Bus Terminus",,5.0,5.0,5.0,0.0,3.0,12.915,8.025
313,regular,E,Enfield,Arriva,DD,Potters Bar,Chingford Station,Dame Alice Owen's School,,"Potters Bar, Dame Alice Owen's School",Chingford Station,313S,3.0,3.0,3.0,0.0,2.5,19.031,11.825
314,regular,TB,Bromley,Stagecoach London,SD,New Addington,Eltham Station,Salcot Crescent,Eltham Bus Station,"New Addington, Salcot Crescent","Eltham Station, Eltham Bus Station",,5.0,5.0,5.0,0.0,3.0,22.681,14.093
315,regular,BC,Beddington,Transport UK,SD,"Tooting Bec, Springfield Hospital",West Norwood,Springfield University Hospital,Rothschild Street,"Tooting Bec, Springfield Hospital, Springfield University Hospital","West Norwood, Rothschild Street",,3.0,3.0,3.0,0.0,2.0,8.698,5.404
316,regular,WJ,Willesden Junction,Metroline,SD,White City,Brent Cross West Station,White City Bus Station,,White City,Brent Cross West Station,,7.0,6.5,7.0,0.0,5.0,12.036,7.479
317,regular,PB,Potters Bar,Metroline,DD,Enfield,Waltham Cross,Little Park Gardens,Waltham Cross Bus Station,"Enfield, Little Park Gardens",Waltham Cross,,3.0,3.0,3.0,0.0,2.0,8.26,5.133
318,regular,NP,Northumberland Park,Go-Ahead,SD,Stamford Hill,North Middlesex Hospital,Rookwood Road,,"Stamford Hill, Rookwood Road",North Middlesex Hospital,,5.0,5.0,5.0,0.0,4.0,9.876,6.136
319,regular,BN,Brixton Hill,Arriva,DD,Sloane Square,"Streatham Hill, Telford Avenue",Cadogan Gardens / Sloane Square,Telford Avenue,Sloane Square,"Streatham Hill, Telford Avenue",,5.5,6.0,6.5,0.0,4.5,11.951,7.426
320,regular,MB,Orpington,Go-Ahead,DD,Catford Bridge,Biggin Hill Valley,Catford Bridge Station,,Catford Bridge,Biggin Hill Valley,,4.5,4.5,4.5,0.0,3.0,19.917,12.376
321,twentyfour,NX,New Cross,Go-Ahead,DD,New Cross Gate,"Foots Cray, Tesco",New Cross Sainsbury's,,"New Cross Gate, New Cross Sainsbury's","Foots Cray, Tesco",,5.0,5.0,5.0,2.5,5.0,16.199,10.066
322,regular,QB,Battersea,Transport UK,SD,Clapham Common,Crystal Palace,The Pavement,Crystal Palace Parade,"Clapham Common, The Pavement",Crystal Palace,,4.5,4.0,4.0,0.0,4.0,10.661,6.624
323,regular,WH,West Ham,Stagecoach London,SD,Mile End,Canning Town,Mile End Station,Canning Town Station,Mile End,Canning Town,,3.0,3.0,3.0,0.0,3.0,5.411,3.362
324,regular,W,Cricklewood,Metroline,SD,"Brent Cross, Tesco","Elstree, Centennial Park",Tesco Brent Cross,Centennial Park,"Brent Cross, Tesco, Tesco Brent Cross","Elstree, Centennial Park",,3.0,3.0,3.0,0.0,3.0,17.203,10.689
325,regular,RR,River Road,Go-Ahead,SD,Prince Regent,"East Beckton, Sainsbury's",Prince Regent Bus Station,,Prince Regent,"East Beckton, Sainsbury's",,5.0,5.0,5.0,0.0,3.0,12.931,8.035
326,regular,BT,Edgware,First,SD,"Brent Cross, Shopping Centre","Barnet, The Spires",,The Spires,"Brent Cross, Shopping Centre","Barnet, The Spires",,5.0,5.0,5.0,0.0,4.0,17.867,11.102
327,regular,PB,Potters Bar,Metroline,SD,Elsinge Estate,Waltham Cross,Cocker Road,Waltham Cross Bus Station,"Elsinge Estate, Cocker Road",Waltham Cross,,1.5,1.5,1.5,0.0,1.5,2.992,1.859
328,regular,W,Cricklewood,Metroline,DD,"Chelsea, World's End",Golders Green,Limerston Street,Golders Green Station,"Chelsea, World's End, Limerston Street",Golders Green,,6.5,6.0,6.0,0.0,5.0,12.91,8.022
329,regular,WN,Wood Green,Arriva,DD,Wood Green,Enfield,Turnpike Lane Station,Little Park Gardens,"Wood Green, Turnpike Lane Station","Enfield, Little Park Gardens",,7.5,7.5,7.5,0.0,7.5,8.887,5.522
330,regular,DS,Henley Road,Go-Ahead,DD,Pontoon Dock,Wanstead Park Station,Thames Barrier,,"Pontoon Dock, Thames Barrier",Wanstead Park Station,,5.0,5.0,5.0,0.0,3.0,8.43,5.238
331,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Uxbridge,Ruislip,Belmont Road,Ruislip Station,"Uxbridge, Belmont Road",Ruislip,,3.0,3.0,3.0,0.0,2.0,21.807,13.55
333,regular,SW,Stockwell,Go-Ahead,DD,Elephant & Castle,Tooting Broadway,Elephant & Castle / Newington Causeway,Tooting Broadway Station,Elephant & Castle,Tooting Broadway,,5.5,5.0,5.0,0.0,5.0,11.673,7.253
335,regular,DT,Dartford,Arriva,DD,North Greenwich,Kidbrooke,North Greenwich Station,Wingfield School,North Greenwich,"Kidbrooke, Wingfield School",,5.0,5.0,5.0,0.0,4.0,8.471,5.264
336,regular,TB,Bromley,Stagecoach London,SD,Locksbottom,Catford Bridge,Locksbottom / Pallant Way,Catford Bridge Station,Locksbottom,Catford Bridge,,4.5,4.0,4.0,0.0,3.0,17.454,10.846
337,regular,QB,Battersea,Transport UK,DD,Richmond,Clapham Junction,Richmond Bus Station,Bolingbroke Grove,Richmond,"Clapham Junction, Bolingbroke Grove",,5.0,4.5,4.5,0.0,4.5,11.009,6.841
339,regular,HO,Lea Interchange,Stagecoach London,SD,Shadwell,Leytonstone,Shadwell Station,Leytonstone Station / Grove Green Road,Shadwell,Leytonstone,,4.0,4.0,4.0,0.0,3.0,13.522,8.402
340,regular,BT,Edgware,First,DD,Harrow,Edgware,Harrow Bus Station,Edgware Station,Harrow,Edgware,,5.0,5.0,5.0,0.0,4.0,9.797,6.088
341,twentyfour,AR,Tottenham,Arriva,DD,Waterloo,"Meridian Water, Glover Drive",Waterloo Station / Waterloo Road,Meridian Water Station,Waterloo,"Meridian Water, Glover Drive, Meridian Water Station",,4.5,5.0,5.0,3.0,5.0,17.21,10.694
343,regular,NX,New Cross,Go-Ahead,DD,New Cross Gate,Tower Gateway,New Cross / Jerningham Road,Tower Gateway Station,"New Cross Gate, New Cross / Jerningham Road",Tower Gateway,,8.0,7.5,7.5,0.0,5.0,13.237,8.225
344,twentyfour,QB,Battersea,Transport UK,DD,Liverpool Street,Clapham Junction,Liverpool Street Station,Clapham Junction Station,Liverpool Street,Clapham Junction,,6.0,6.5,6.5,3.5,6.5,11.451,7.116
345,twentyfour,QB,Battersea,Transport UK,DD,South Kensington,Peckham,Natural History Museum / Cromwell Road,Peckham Bus Station,"South Kensington, Natural History Museum / Cromwell Road",Peckham,,6.5,6.5,6.5,2.0,4.5,14.517,9.021
346,regular,RM,Rainham,Stagecoach London,SD,Upminster Park Estate,"Harold Hill, Dagnam Park Square",Lexington Way,Dagnam Park Square,"Upminster Park Estate, Lexington Way","Harold Hill, Dagnam Park Square",,2.5,2.5,2.5,0.0,2.5,16.228,10.084
349,regular,AR,Tottenham,Arriva,DD,Stamford Hill,"Ponders End, Bus Garage",Rookwood Road,Glyn Road,"Stamford Hill, Rookwood Road","Ponders End, Bus Garage, Glyn Road",,6.0,6.0,6.0,0.0,5.0,9.369,5.822
350,regular,DH,Hayes,Transport UK,SD,Heathrow Terminal 5,"Hayes, Asda",,Fairey Corner,Heathrow Terminal 5,"Hayes, Asda, Fairey Corner",,3.0,3.0,3.0,0.0,3.0,13.199,8.202
352,regular,SM,Sydenham,Go-Ahead,SD,Lower Sydenham,Bromley North,Bell Green / Sainsbury's,Bromley North Station,"Lower Sydenham, Bell Green / Sainsbury's",Bromley North,,3.0,3.0,3.0,0.0,2.0,13.8,8.575
353,regular,MB,Orpington,Go-Ahead,DD,Forestdale,Ramsden Estate,Markfield,Ramsden Estate / Rye Crescent,"Forestdale, Markfield",Ramsden Estate,,3.5,3.0,3.0,0.0,2.0,16.854,10.473
354,regular,SM,Sydenham,Go-Ahead,SD,Bromley North,Penge,Bromley North Station,High Street / Maple Road,Bromley North,"Penge, High Street / Maple Road",,3.0,3.0,3.0,0.0,2.5,10.97,6.816
355,regular,Q,Camberwell,Go-Ahead,SD,Brixton,Mitcham,Brixton Station,Madeira Road,Brixton,"Mitcham, Madeira Road",,5.0,5.0,5.0,0.0,4.0,10.895,6.77
356,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Shirley,Upper Sydenham,Wickham Road,Sydenham Hill / Kirkdale,"Shirley, Wickham Road","Upper Sydenham, Sydenham Hill / Kirkdale",,3.0,3.0,3.0,0.0,2.0,16.02,9.955
357,regular,NP,Northumberland Park,Go-Ahead,DD,Whipps Cross,Chingford Hatch,Whipps Cross Bus Stand,Hatch Lane,Whipps Cross,"Chingford Hatch, Hatch Lane",,2.0,2.0,2.0,0.0,2.0,9.164,5.694
358,regular,MB,Orpington,Go-Ahead,SD,Crystal Palace,Orpington Station,Crystal Palace Parade,,Crystal Palace,Orpington Station,,5.0,5.0,5.0,0.0,3.0,24.964,15.512
359,regular,C,Croydon,Go-Ahead,SD,Addington Village,Purley,Addington Village Interchange,Purley High Street,Addington Village,Purley,,1.5,1.5,1.5,0.0,1.5,10.311,6.407
360,regular,Q,Camberwell,Go-Ahead,SD,Royal Albert Hall,Elephant & Castle,Prince Consort Road / Imperial College,Elephant & Castle / Newington Causeway,"Royal Albert Hall, Prince Consort Road / Imperial College",Elephant & Castle,,5.0,5.0,5.0,0.0,4.5,9.846,6.118
362,regular,BK,Barking,Stagecoach London,SD,King George Hospital,Grange Hill,,Manor Road / Grange Hill Station,King George Hospital,Grange Hill,,1.5,1.5,2.0,0.0,2.0,12.474,7.751
363,regular,WL,Walworth,Transport UK,DD,Elephant & Castle,Crystal Palace,Lambeth Road,Crystal Palace Parade,"Elephant & Castle, Lambeth Road",Crystal Palace,,6.5,6.0,6.0,0.0,5.0,11.533,7.166
364,regular,RR,River Road,Go-Ahead,SD,Dagenham East,Ilford,Ballards Road,Hainault Street,"Dagenham East, Ballards Road","Ilford, Hainault Street",,5.5,6.0,6.0,0.0,4.0,12.462,7.744
365,twentyfour,NS; RM,Rainham; Romford,Stagecoach London,DD,Havering Park,"Beam Park, New Road",,South Street,Havering Park,"Beam Park, New Road, South Street",,5.0,5.0,5.0,2.0,3.0,15.521,9.644
366,regular,RR,River Road,Go-Ahead,SD,Beckton Station,Redbridge,Beckton Bus Station,Falmouth Gardens,"Beckton Station, Beckton Bus Station","Redbridge, Falmouth Gardens",,6.5,6.0,6.0,0.0,4.0,20.082,12.478
367,regular,BC,Beddington,Transport UK,SD,Bromley North,West Croydon,Bromley North Station,Delta Point / West Croydon Station,Bromley North,West Croydon,,3.0,3.0,3.0,0.0,2.0,19.428,12.072
368,regular,RR,River Road,Go-Ahead,DD,"Barking, Harts Lane",Chadwell Heath,Harts Lane Estate,Wangey Road,"Barking, Harts Lane, Harts Lane Estate","Chadwell Heath, Wangey Road",,5.0,5.0,5.0,0.0,3.0,9.939,6.176
370,regular,GY,Grays,Arriva,DD,Lakeside,"Romford, Mercury Gardens",Lakeside Bus Station,Mercury Gardens,Lakeside,"Romford, Mercury Gardens",,5.5,5.0,5.0,0.0,4.0,20.314,12.622
371,regular,FW,Fulwell,First,SD,Kingston,"Richmond, Manor Circus",Kingston Hall Road,Manor Road / Sainsbury's,Kingston,"Richmond, Manor Circus, Manor Road / Sainsbury's",,5.0,5.0,5.0,0.0,5.0,12.821,7.967
372,regular,RM,Rainham,Stagecoach London,DD,Lakeside,"Hornchurch, Town Centre",Lakeside Bus Station,,Lakeside,"Hornchurch, Town Centre",,3.0,3.0,3.0,0.0,2.0,18.456,11.468
375,regular,GY,Grays,Arriva,SD,Passingford Bridge,Romford Station,,,Passingford Bridge,Romford Station,,0.5,1.0,0.5,0.0,0.5,12.18,7.568
376,regular,DS,Henley Road,Go-Ahead,SD,"East Ham, Newham Town Hall",Beckton Station,Newham Town Hall,Beckton Bus Station,"East Ham, Newham Town Hall","Beckton Station, Beckton Bus Station",,4.5,4.5,4.5,0.0,2.0,10.127,6.293
377,regular,E,Enfield,Arriva,SD,Oakwood,"Ponders End, Bus Garage",Oakwood Station,Glyn Road,Oakwood,"Ponders End, Bus Garage, Glyn Road",,2.0,2.0,2.0,0.0,2.0,9.689,6.02
378,regular,SW,Stockwell,Go-Ahead,SD,Putney Bridge,Mortlake,Putney Bridge Stn / Gonville Street,Mortlake Bus Station,Putney Bridge,Mortlake,,4.0,4.0,4.0,0.0,4.0,4.522,2.81
379,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Yardley Lane,Chingford Station,Yardley Lane Estate,,Yardley Lane,Chingford Station,,3.0,3.0,4.0,0.0,2.0,3.623,2.251
380,regular,PD,Plumstead,Stagecoach London,SD,"Lewisham, Shopping Centre",Belmarsh,Molesworth Street,Belmarsh Prison / Woolwich Crown Court,"Lewisham, Shopping Centre, Molesworth Street",Belmarsh,,5.0,5.5,5.0,0.0,4.0,14.858,9.232
381,regular,WL,Walworth,Transport UK,DD,Waterloo,Peckham,County Hall,Peckham Bus Station,"Waterloo, County Hall",Peckham,,5.0,5.0,5.0,0.0,4.5,14.458,8.984
382,regular,PB,Potters Bar,Metroline,SD,"Mill Hill East, Millbrook Park",Southgate,Millbrook Park,Southgate Station,"Mill Hill East, Millbrook Park",Southgate,,4.0,4.0,4.0,0.0,2.0,14.008,8.704
383,regular,UB,Hatfield,Uno,SD,Finchley Memorial Hospital,"Barnet, The Spires",,The Spires,Finchley Memorial Hospital,"Barnet, The Spires",,2.0,2.0,2.0,0.0,2.0,12.73,7.91
384,regular,PB,Potters Bar,Metroline,SD,Cockfosters,Edgware,Cockfosters Station,Edgware Station,Cockfosters,Edgware,,3.0,3.0,3.0,0.0,2.0,16.268,10.108
385,regular,AW,Walthamstow Avenue,Stagecoach London,SD,"Crooked Billet, Sainsbury's",Chingford Station,Salisbury Hall Sainsbury's,,"Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",Chingford Station,,0.0,0.5,1.0,0.0,1.0,7.098,4.41
386,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Blackheath Village,Woolwich,Royal Parade,Woolwich Arsenal Station,"Blackheath Village, Royal Parade",Woolwich,,3.0,3.0,3.0,0.0,3.0,15.92,9.892
388,regular,HK,Ash Grove,Stagecoach London,DD,London Bridge,Stratford City,London Bridge Bus Station,Stratford City Bus Station,London Bridge,Stratford City,,5.0,5.0,5.0,0.0,5.0,10.009,6.219
389,regular,NP,Northumberland Park,Go-Ahead,SD,"Barnet, Western Way","Barnet, The Spires",Western Way,The Spires,"Barnet, Western Way","Barnet, The Spires",,0.0,0.0,1.0,0.0,1.0,2.61,1.622
390,twentyfour,HT,Holloway,Metroline,DD,Victoria,Archway,Victoria Bus Station,Archway Station,Victoria,Archway,,11.0,11.0,11.0,5.5,6.0,11.565,7.186
393,regular,HT,Holloway,Metroline,SD,Chalk Farm,Clapton Pond,Chalk Farm Road / Morrisons,Lea Bridge Roundabout,Chalk Farm,"Clapton Pond, Lea Bridge Roundabout",,5.0,5.0,5.0,0.0,4.5,13.549,8.419
394,regular,HK,Ash Grove,Stagecoach London,SD,"Islington, Angel",Homerton Hospital,Tolpuddle St / Islington Police Station,,"Islington, Angel, Tolpuddle St / Islington Police Station",Homerton Hospital,,4.0,4.0,4.0,0.0,4.0,8.23,5.114
395,regular,SO,Harrow,First,SD,"Greenford, Westway Cross",Harrow,Westway Cross Retail Park,Harrow Bus Station,"Greenford, Westway Cross, Westway Cross Retail Park",Harrow,,3.0,3.0,3.0,0.0,2.0,9.41,5.847
396,regular,RR,River Road,Go-Ahead,SD,Ilford Broadway,King George Hospital,Roden Street,,"Ilford Broadway, Roden Street",King George Hospital,,3.0,3.0,3.0,0.0,3.0,7.275,4.521
397,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Debden,"Crooked Billet, Sainsbury's",The Broadway,Salisbury Hall Sainsbury's,"Debden, The Broadway","Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",,3.0,2.0,2.0,0.0,2.0,15.65,9.725
